count,label,latitude,longitude,name
460,MILANO 460,45.4642035,9.189982,"MILANO, ITALY"
89,ROMA 89,41.9027835,12.4963655,"ROMA, ITALY"
43,BOLZANO 43,46.4982953,11.3547582,"BOLZANO, ITALY"
42,BERGAMO 42,45.6982642,9.6772698,"BERGAMO, ITALY"
39,VICENZA 39,45.5454787,11.5354214,"VICENZA, ITALY"
29,BRESCIA 29,45.5415526,10.2118019,"BRESCIA, ITALY"
29,MODENA 29,44.647128,10.9252269,"MODENA, ITALY"
24,NAPOLI 24,40.8517983,14.26812,"NAPOLI, ITALY"
21,VARESE 21,45.82059890000001,8.8250576,"VARESE, ITALY"
21,COMO 21,45.8080597,9.0851765,"COMO, ITALY"
20,TRENTO 20,46.0747793,11.1217486,"TRENTO, ITALY"
19,VERONA 19,45.43838419999999,10.9916215,"VERONA, ITALY"
16,REGGIO EMILIA 16,44.6989932,10.6296859,"REGGIO EMILIA, ITALY"
14,BARI 14,41.1171432,16.8718715,"BARI, ITALY"
14,MONZA 14,45.5845001,9.2744485,"MONZA, ITALY"
14,FIRENZE 14,43.7695604,11.2558136,"FIRENZE, ITALY"
13,PARMA 13,44.801485,10.3279036,"PARMA, ITALY"
11,TREVISO 11,45.6668893,12.2430437,"TREVISO, ITALY"
10,MANTOVA 10,45.1564168,10.7913751,"MANTOVA, ITALY"
9,LECCO 9,45.8565698,9.397670399999999,"LECCO, ITALY"
8,SONDRIO 8,46.1698583,9.8787674,"SONDRIO, ITALY"
8,UDINE 8,46.0710668,13.2345794,"UDINE, ITALY"
6,TORINO 6,45.0703393,7.686864,"TORINO, ITALY"
5,PERUGIA 5,43.1107168,12.3908279,"PERUGIA, ITALY"
5,LECCE 5,40.3515155,18.1750161,"LECCE, ITALY"
5,MATERA 5,40.666379,16.6043199,"MATERA, ITALY"
4,PADOVA 4,45.4064349,11.8767611,"PADOVA, ITALY"
4,ROVIGO 4,45.0698118,11.7902158,"ROVIGO, ITALY"
4,VENEZIA 4,45.4408474,12.3155151,"VENEZIA, ITALY"
4,CASERTA 4,41.0854362,14.367553,"CASERTA, ITALY"
3,COSENZA 3,39.2982629,16.2537357,"COSENZA, ITALY"
3,CUNEO 3,44.3844766,7.5426711,"CUNEO, ITALY"
3,TARANTO 3,40.46436060000001,17.2470303,"TARANTO, ITALY"
3,BARLETTA 3,41.3196635,16.2838207,"BARLETTA, ITALY"
3,MACERATA 3,43.2984268,13.4534767,"MACERATA, ITALY"
3,TRIESTE 3,45.6495264,13.7768182,"TRIESTE, ITALY"
2,SIENA 2,43.31880899999999,11.3307574,"SIENA, ITALY"
2,POTENZA 2,40.6404067,15.8056041,"POTENZA, ITALY"
2,PALERMO 2,38.11569,13.3614868,"PALERMO, ITALY"
2,BOLOGNA 2,44.494887,11.3426162,"BOLOGNA, ITALY"
2,FOGGIA 2,41.4621984,15.5446302,"FOGGIA, ITALY"
2,ASCOLI PICENO 2,42.8536043,13.5749442,"ASCOLI PICENO, ITALY"
2,SALERNO 2,40.68244079999999,14.7680961,"SALERNO, ITALY"
1,PORDENONE 1,45.9563684,12.661452,"PORDENONE, ITALY"
1,CARBONIA 1,39.16442809999999,8.522885300000002,"CARBONIA, ITALY"
1,CATANIA 1,37.5078772,15.0830304,"CATANIA, ITALY"
1,RAVENNA 1,44.4183598,12.2035294,"RAVENNA, ITALY"
1,PRATO 1,43.8777049,11.102228,"PRATO, ITALY"
1,CHIETI 1,42.347886,14.1635845,"CHIETI, ITALY"
1,CATANZARO 1,38.90979189999999,16.5876516,"CATANZARO, ITALY"
1,VERBANO 1,46.1399688,8.2724649,"VERBANO, ITALY"
1,PESARO 1,43.9124756,12.9155494,"PESARO, ITALY"
1,BENEVENTO 1,41.1297613,14.7826208,"BENEVENTO, ITALY"
1,CREMONA 1,45.133249,10.0226511,"CREMONA, ITALY"
1,TERNI 1,42.5636168,12.6426604,"TERNI, ITALY"
1,CAMPOBASSO 1,41.5602544,14.6627161,"CAMPOBASSO, ITALY"
1,PISTOIA 1,43.9303475,10.9078587,"PISTOIA, ITALY"
1,NOVARA 1,45.44692999999999,8.622161199999999,"NOVARA, ITALY"
1,FROSINONE 1,41.6576528,13.6362715,"FROSINONE, ITALY"
1,CROTONE 1,39.0807932,17.1271102,"CROTONE, ITALY"
1,AVELLINO 1,40.914388,14.7906121,"AVELLINO, ITALY"
